publication_id,title,authors,year,journal,doi,pmid,pmcid,source_file,file_type,chunk_count
69,Association of recent HIV-infection and in-utero HIV-1 Transmission,"Taha TE, James MM, Hoover DR, Sun J, Laeyendecker O, Mullis CE, Kumwenda JJ, Lingappa JR, Auvert B, Morrison CS, Mofenson LM, Taylor AT, Fowler MG, Kumwenda NI, Eshleman SH",2011,AIDS,10.1097/qad.0b013e3283489d45,21572305,PMC3263827,69_Association_of_recent_HIV_infection_and_in_utero_HIV_1_Trans.txt,txt,15
71,Initiation of antiretroviral treatment in women after delivery can induce multi-class drug resistance in breastfeeding HIV-infected infants,"Fogel J, Li Q, Taha TE, Hoover DR, Kumwenda NI, Mofenson LM, Kumwenda JJ, Fowler MG, Thigpen MC, Eshelman SH",2011,Clinical Infectious Disease,10.1093/cid/cir008,21460326,PMC3070029,71_Initiation_of_antiretroviral_treatment_in_women_after_delive.txt,txt,12
72,"Effects of Cessation of Breastfeeding in HIV-1-Exposed, Uninfected Children in Malawi","Taha TE, Hoover DR, Chen S, Kumwenda NI, Mipando L, Nkanaunena K, Thigpen M, Taylor A, Fowler MG",2011,Clinical Infectious Diseases,10.1093/cid/cir413,21810754,PMC3202326,72_Effects_of_Cessation_of_Breastfeeding_in_HIV_1_Exposed_Uninf.txt,txt,12
75,Considerations in Using US Based Laboratory Toxicities Among Healthy Malawian and Ugandan Infants,"Lubega IR, Fowler MG, Musoke PM, Elbireer MT, Bagenda D, Kafulafula G, Ko J, Mipando L, Mubiru M, Kumwenda N, Taha T, Jackson B, Guay L",2010,Journal of Acquired Immune Deficiency Syndrome,10.1097/qai.0b013e3181db059d,20588184,PMC3033212,75_Considerations_in_Using_US_Based_Laboratory_Toxicities_Among.txt,txt,15
76,Population attributable fractions for late postnatal mother-to-child transmission of HIV-1 in Sub-Saharan Africa,"Chen YQ, Young A, Brown ER, Chasela CS, Fiscus SA, Hoffman IF, Valentine M, Emel L, Taha TE, Goldenberg RL, Read JS",2010,Journal of Acquired Immune Deficiency Syndrome,10.1097/qai.0b013e3181d61c2e,20224418,PMC3086731,76_Population_attributable_fractions_for_late_postnatal_mother_.txt,txt,12
80,Addition of extended zidovudine to extended nevirapine prophylaxis reduces nevirapine resistance in infants who were HIV infected in utero,"Lidström J, Li Q, Hoover DR, Kafulafula G, Mofenson LM, Fowler MG, Thigpen MC, Kumwenda N, Taha TE, Eshleman SH",2010,AIDS,10.1097/qad.0b013e3283352ef1,19996936,PMC3063063,80_Addition_of_extended_zidovudine_to_extended_nevirapine_proph.txt,txt,9
82,"Effect of prenatal and perinatal antibiotics on maternal health in Malawi, Tanzania, and Zambia","Aboud S, Msamanga G, Read JS, Wang L, Mfalila C, Sharma U, Martinson F, Taha TE, Goldenberg R, Fawzi W",2009,International Journal of Gynecology and Obstetrics,10.1016/j.ijgo.2009.07.037,19716560,PMC2783250,82_Effect_of_prenatal_and_perinatal_antibiotics_on_maternal_hea.txt,txt,9
86,Primary HIV-1 Infection among Infants in Sub-Saharan Africa: HPTN 024,"Read JS, Mwatha A, Richardson B, Valentine M, Emel L, Manji K, Hoffman I, Sharma U, Goldenberg PL, Taha TE",2009,Journal of Acquired Immune Deficiency Syndrome,10.1097/qai.0b013e31819c18c3,19367174,PMC2753468,86_Primary_HIV_1_Infection_among_Infants_in_Sub_Saharan_Africa_.txt,txt,10
88,Nevirapine resistance in human immunodeficiency virus type 1-positive infants determined using dried blood spots stored for up to six years at room temperature,"Nelson JA, Loftis AM, Kamwendo D, Fawzi WW, Taha TE, Goldenberg RL, Fiscus SA",2009,Journal of Clinical Microbiology,10.1128/jcm.00254-09,19225101,PMC2668311,88_Nevirapine_resistance_in_human_immunodeficiency_virus_type_1.txt,txt,6
89,Determining an Optimal Testing Strategy for Mother-to-Child Transmission of HIV-1 During the Late Postnatal Period,"Brown E, Chi BH, Read JS, Taha TE, Sharma U, Hoffman IF, Pikora C, Goldenberg R, Fiscus SA",2008,AIDS,10.1097/qad.0b013e328317cc15,18981773,PMC2760032,89_Determining_an_Optimal_Testing_Strategy_for_Mother_to_Child_.txt,txt,9
91,"Genital Tract Infections Among HIV-Infected Pregnant Women in Malawi, Tanzania and Zambia","Aboud S, Msamanga G, Read JS, Mwatha, Chen YQ, Potter D, Valentine M, Sharma U, Hoffman I, Taha TE, Goldenberg RL, Fawzi WW",2008,International Journal of STD & AIDS,10.1258/ijsa.2008.008067,19050213,PMC2698963,91_Genital_Tract_Infections_Among_HIV_Infected_Pregnant_Women_i.txt,txt,10
92,Nutrition Indicators of Adverse Pregnancy Outcomes and Mother-to-Child Transmission of HIV among HIV-infected Women,"Mehta S, Manji KP, Young AM, Brown ER, Taha TE, Read JS, Goldenberg RL, Fawzi WW",2008,American Journal of Clinical Nutrition,10.1093/ajcn/87.6.1639,18541551,PMC2474657,92_Nutrition_Indicators_of_Adverse_Pregnancy_Outcomes_and_Mothe.txt,txt,16
98,The Effect of Vaginal Douching Cessation on Bacterial Vaginosis: a pilot study,"Brotman RM, Ghanem KG, Klebanoff MA, Taha TE, Scharfstien DO, Zenilman JM",2008,American Journal of Obstetrics and Gynecology,10.1016/j.ajog.2007.11.043,18295180,PMC2494605,98_The_Effect_of_Vaginal_Douching_Cessation_on_Bacterial_Vagino.txt,txt,17
101,Risk Factors for Late Postnatal Transmission of Human Immunodeficiency Virus Type in Sub-Saharan Africa,"Chasela C, Chen YQ, Fiscus SA, Mmiro F, Musoke P, Kumwenda N, Jackson JB, Taha TE, Hoover DR",2008,The Pediatric Infectious Disease Journal,10.1097/inf.0b013e31815b4960,18277935,PMC2730543,101_Risk_Factors_for_Late_Postnatal_Transmission_of_Human_Immuno.txt,txt,11
109,Intermittent Intravaginal Antibiotic Treatment of Bacterial Vaginosis in HIV-Uninfected and Infected Women: A Randomized Clinical Trial,"Taha TE, Kumwenda N, Kafulafula G, Makanani B, Nkhoma C, Chen S, Tsui A, Hoover DR",2007,PLoS Clin Trials,10.1371/journal.pctr.0020010,17318258,PMC1851729,109_Intermittent_Intravaginal_Antibiotic_Treatment_of_Bacterial_.pdf,pdf,24
113,"Sensitivity of the ViroSeq HIV-1 Genotyping System for detection of the K103N resistance mutation in HIV-1 subtypes A, C and D","Church JD, Jones D, Flys T, Hoover D, Marlowe N, Chen S, Shi C, Eshleman JR, Guay LA, Jackson JB, Kumwenda N, Taha TE, Eshleman SH",2006,Journal of Molecular Diagnostics,10.2353/jmoldx.2006.050148,16931582,PMC1867617,113_Sensitivity_of_the_ViroSeq_HIV_1_Genotyping_System_for_detec.txt,txt,5
116,The impact of breastfeeding on the health of HIV-1 infected mothers and their children in sub-Saharan Africa,"Taha TE, Kumwenda NI, Hoover DR, Kafulafula G, Fiscus SA, Nkhoma C, Chen S, Broadhead RL",2006,Bulletin of the World Health Organization,10.2471/blt.05.027664,16878228,PMC2627383,116_The_impact_of_breastfeeding_on_the_health_of_HIV_1_infected_.txt,txt,1
131,"Herpes Simplex-2 and syphilis among young drug users in Baltimore, Maryland","Plitt S, Sherman S, Strathdee S, Taha T",2005,Sexually Transmitted Infections,10.1136/sti.2004.011544,15923296,PMC1744972,131_Herpes_Simplex_2_and_syphilis_among_young_drug_users_in_Balt.txt,txt,4
139,Hierarchical Targeting of Subtype C Human Immunodeficiency Virus Type 1 Proteins by CD8 T Cells: Correlation with Viral Load,"Masemola A, Mashishi T, Khoury G, Mohube P, Mokgotho P, Vardas E, Colvin M, Zijenah L, Katzenstein D, Musonda R, Allen S, Kumwenda N, Taha T, Gray G, McIntyre J, Karim SA, Sheppard HW, Gray CM, and the HIVNET 028 Team",2004,Journal of Virology,10.1128/jvi.78.7.3233-3243.2004,15016844,PMC371059,139_Hierarchical_Targeting_of_Subtype_C_Human_Immunodeficiency_V.txt,txt,17
140,Micronutrient malnutrition and wasting in adults with pulmonary tuberculosis with and without HIV co-infection in Malawi,"Van Lettow M, Harries AD, Kumwenda JJ, Zijlstra EE, Clark TD, Taha TE, Semba R",2004,BMC Infectious Diseases,10.1186/1471-2334-4-61,15613232,PMC544350,140_Micronutrient_malnutrition_and_wasting_in_adults_with_pulmon.pdf,pdf,13
162,Mastitis and immunological factors in breast milk of lactating women,"Semba RD, Kumwenda NI, Taha TE, Hoover DR, Lan Y, Mtimavalye L, Broadhead R, Miotti P, Ven der Hoeven L, Chiphangwi JD",1999,Clinical Diagnosis and Laboratory Immunology,10.1128/cdli.6.5.671-674.1999,10473515,PMC95752,162_Mastitis_and_immunological_factors_in_breast_milk_of_lactati.txt,txt,8
174,Effect of cleaning the birth canal with an antiseptic solution on maternal and newborn morbidity and mortality: clinical trial,"Taha TE, Biggar RJ, Broadhead RL, Mtimavalye LAR, Justesen A, Liomba G, Chiphangwi JD, Miotti PG",1997,British Medical Journal,10.1136/bmj.315.7102.216,9253269,PMC2127178,174_Effect_of_cleaning_the_birth_canal_with_an_antiseptic_soluti.txt,txt,1
