publication_id,title,authors,year,journal,doi,pmid,pmcid,source_file,file_type,chunk_count
17,Neurodevelopmental Outcomes of HIV and Anti-retroviral Drug Perinatally Exposed Uninfected Children Aged 3–6 years,"Fowler, Mary Glenn; Hanrahan, Colleen; Yende, Nonhlanhla; Stranix-Chibanda, Lynda; Chipato, Tsugai; Maliwichi, Limbika; Gadama, Luis; Aizire, Jim; Dadabahi, Sufia; Chinula, Lameck; Wambuzi-Owang, Lillian; Owor, Maxensia; Violoari, Avy; Nyati, Mandisa; Hanley, Sherika; Govender, Vani; Brummel, Sean; Taha, Taha",2022,AIDS,10.1097/QAD.0000000000003290,35730383,PMC9563003,17_Neurodevelopmental_Outcomes_of_HIV_and_Anti_retroviral_Drug_.txt,txt,19
18,Maternal and infant renal safety following tenofovir disoproxil fumarate exposure during pregnancy in a randomized control trial,"Kristin Baltrusaitis, Bonus Makanani, Camlin Tierney, Mary Glenn Fowler, Dhayendre Moodley, Gerhard Theron, Lynette H. Nyakudya, Musunga Tomu, Lee Fairlie, Kathleen George, Barbara Heckman, Kevin Knowles, Renee Browning, George K. Siberry, Taha E. Taha, Lynda Stranix-Chibanda for the PROMISE P1084s Study Team",2022,BMC Infect Dis,10.1186/s12879-022-07608-8,35858874,PMC9297643,18_Maternal_and_infant_renal_safety_following_tenofovir_disopro.pdf,pdf,26
19,Effects of long-term antiretroviral therapy in reproductive-age women in sub-Saharan Africa (the PEPFAR PROMOTE study): a multi-country observational cohort study,"Taha TE, Yende-Zuma N, Brummel SS, Stranix-Chibanda L, Ogwang LW, Dadabhai S, Chinula L, Nyati MM, Hanley S, Makanani B, Chipato T, Atuhaire P, Aizire A, Fowler MG",2022,Lancet HIV,10.1016/S2352-3018(22)00037-6,35489365,PMC9639003,19_Effects_of_long_term_antiretroviral_therapy_in_reproductive_.txt,txt,16
20,COVID-19 clinical profiles and fatality rates in hospitalized patients reveal case aggravation and selective coinfection by limited Gram-negative bacteria,"Kamaleldin B Said, Ahmed Alsolami, Safia Moussa, Fayez Alfouzan, Abdelhafiz I. Bashir, Musleh Rashidi, Rana Aboras, Taha E Taha, Husam Almansour, Meshari Alazmi, Amal Al-Otaibi, Luluh Aljaloud, Basmah Al-Anazi, Ahmed M. Ahmed",2022,Int J Environ Res Public Health,10.3390/ijerph19095270,35564665,PMC9101447,20_COVID_19_clinical_profiles_and_fatality_rates_in_hospitalize.txt,txt,18
22,Comparison of dried blood spot and plasma sampling for untargeted metabolomics,"Tobin NH, Murphy A, Li F, Brummel SS, Taha TE, Saidi F, Owor M, Violari A, Moodley D, Chi B, Goodman KD, Koos B, Aldrovandi GM",2021,Metabolomics,10.1007/s11306-021-01813-3,34164733,PMC8340475,22_Comparison_of_dried_blood_spot_and_plasma_sampling_for_untar.txt,txt,11
23,Mid-thigh circumference as an indicator of nutritional status to predict adverse pregnancy outcomes among HIV-infected and HIV-uninfected women in Malawi,"Keerthana Hirudayakanth, Luis Gadama, Sufia Dadabhai, Chaplain Katumbi, Hazzie Mvula, Bonus Makanani, Frank Taulo & Taha E. Taha",2021,BMC Pregnancy Childbirth,10.1186/s12884-021-04118-4,34556074,PMC8461852,23_Mid_thigh_circumference_as_an_indicator_of_nutritional_statu.pdf,pdf,16
24,"A multi-point surveillance for antimicrobial resistance profiles among clinical isolates of gram-negative bacteria recovered from major ha’il hospitals, Saudi Arabia","Kamaleldin B. Said, Ahmed Alsolami, Amany M. Khalifa, Nuha A. Khalil, Soha Moursi, Abuzar Osma, Dakheel Fahad, Ehab Rakha, Musleh Rashidi, Safia Mouss, Abdelhafiz I. Bashir, Fayez Alfouzan, Sahar Hammam, Taha E. Taha, Awdah Al-hazimi, Ahmed Al Jadani and on behalf of the Ha’il COM Research Unit Group",2021,Microorganisms,10.3390/microorganisms9102024,34683344,PMC8537776,24_A_multi_point_surveillance_for_antimicrobial_resistance_prof.txt,txt,22
25,Maternal human immunodeficiency virus (HIV) drug resistance is associated with vertical transmission and is prevalent in infected infants,"Boyce CL, Tatiana Sils, Daisy Ko, Annie Wong-on-Wing, Ingrid A Beck, Sheila M Styrchak, Patricia DeMarrais, Camlin Tierney, Lynda Stranix-Chibanda, Patricia M Flynn, Taha E Taha, Maxensia Owor, Mary Glenn Fowler, Lisa M Frenkel IMPAACT 1077BF Promoting Maternal and Infant Survival Everywhere (PROMISE) Study Team",2021,Clinical Infectious Diseases,10.1093/cid/ciab744,34467974,PMC9187323,25_Maternal_human_immunodeficiency_virus_HIV_drug_resistance_is.txt,txt,13
26,"Safety, uptake and use of a dapivirine vaginal ring for HIV-1 prevention in African women(HOPE): an open-label extension study","Jared M. Baeten, Thesla Palanee-Phillips, Nyaradzo M. Mgodi, Ashley J. Mayo, Daniel W. Szydlo, Gita Ramjee, Brenda Gati Mirembe, Felix Mhlanga, Portia Hunidzarira, Leila E. Mansoor, Samantha Siva, Vaneshree Govender, Bonus Makanani, Logashvari Naidoo, Nishanta Singh, Gonasagrie Nair, Lameck Chinula, Urvi M. Parikh, John W. Mellors, Iván C. Balán, Kenneth Ngure, Ariane van der Straten, Rachel Scheckter, Morgan Garcia, Melissa Peda, Karen Patterson, Edward Livant, Katherine Bunge, Devika Singh, Cindy Jacobson, Yuqing Jiao, Craig W. Hendrix, Zvavahera M. Chirenje, Clemensia Nakabiito, Taha E. Taha, Judith Jones, Kristine Torjesen, Annalene Nel, Zeda Rosenberg, Lydia E. Soto-Torres, Sharon Hillier, Elizabeth R. Brown, for the MTN-025/HOPE Study Team",2021,The Lancet HIV,10.1016/S2352-3018(20)30304-0,33539762,PMC8038210,26_Safety_uptake_and_use_of_a_dapivirine_vaginal_ring_for_HIV_1.txt,txt,19
29,Effect of SARS-CoV-2 infection in pregnancy on maternal and neonatal outcomes in Africa: An afrehealth call for evidence through multicountry research collaboration,"Nachega JB, Nadia A Sam-Agudu, Samantha Budhram, Taha E Taha, Valerie Vannevel, Priya Somapillay, Daniel Katuashi Ishoso, Michel Tshiasuma Pipo, Christian Bongo-Pasi Nswe, John Ditekemena, Birhanu T Ayele, Rhoderick N Machekano , Onesmus W Gachuno, John Kinuthia, Nancy Mwongeli, Musa Sekikubo, Philippa Musoke, Evans Kofi Agbeno, Lawal W Umar, Mukanire Ntakwinja, Denis M Mukwege, Emily R Smith, Eduard J Mills, John Otokoye Otshudiema, Placide Mbala-Kingebeni, Jean-Marie N Kayembe, Don Jethro Mavungu Landu, Jean-Jacques Muyembe Tamfum, Alimuddin Zumla, Eduard J Langenegger, Lynne M Mofenson, AFREhealth COVID-19 Research Collaboration Working Group",2020,American Journal of Tropical Medicine and Hygiene,10.4269/ajtmh.20-1553,33372651,PMC7866362,29_Effect_of_SARS_CoV_2_infection_in_pregnancy_on_maternal_and_.txt,txt,10
30,Resumption of postpartum sexual activity and menses among HIV-infected women on life-long antiretroviral treatment compared to HIV-uninfected women in Africa,"Dadabhai S, Makanani B, Hua N, Kawalazira R, Taulo F, Gadama L, Taha TE",2020,Int J Gyn Obstet,10.1002/ijgo.13113,32037538,PMC7152561,30_Resumption_of_postpartum_sexual_activity_and_menses_among_HI.txt,txt,10
32,Factors associated with unsuppressed viremia in women living with HIV on lifelong ART in the multi-country US-PEPFAR PROMOTE study: A cross-sectional analysis,"Atuhaire P, Hanley S, Yende-Zuma N, Aizire J, Stranix-Chibanda L, Makanani B, Beteniko Milala, Haseena Cassim, Taha Taha, Mary Glenn Fowler",2019,PLoS ONE,10.1371/journal.pone.0219415,31647806,PMC6812809,32_Factors_associated_with_unsuppressed_viremia_in_women_living.txt,txt,41
33,Time to Viral Rebound and Safety after Antiretroviral Treatment Interruption in Postpartum Women Compared to Men,"Le CN, Britto P, Brummel SS, Hoffman RM, Li JZ, Flynn PM, Taha TE, Coletti A, Fowler MG, Bosch RJ, Gandhi RT, Klingman KL, Mcintyre JA, Currier JS",2019,AIDS,10.1097/QAD.0000000000002334,31373919,PMC6832824,33_Time_to_Viral_Rebound_and_Safety_after_Antiretroviral_Treatm.pdf,pdf,1
35,Developmental effects of antepartum and postpartum antiretroviral exposure for HIV-exposed versus HIV-unexposed uninfected children in Uganda and Malawi: a prospective cohort study,"Boivin MJ, Maliwichi-Senganimalunje L, Ogwang LW, Kawalazira R, Alla Sikorskii, Familiar-Lopez I, Kuteesa A, Nyakato M, Mutebe A, Namukooli JL, Mallewa M, Ruiseñor-Escudero H, Aizire J, Taha TE, Fowler MG",2019,The Lancet HIV (2019),10.1016/S2352-3018(19)30083-9,31122797,PMC6677626,35_Developmental_effects_of_antepartum_and_postpartum_antiretro.txt,txt,19
36,"The Multi-country PROMOTE HIV Antiretroviral Treatment Observational Cohort in Sub-Saharan Africa: Objectives, Design, and Baseline Findings","Taha TE, Yende-Zuma N, Aizire J, Chipato T, Ogwang LW, Makanani B, Chinula L, Nyati MM, Hanley S, Brummel SS, Fowler MG",2018,PLoS ONE,10.1371/journal.pone.0208805,30543692,PMC6292608,36_The_Multi_country_PROMOTE_HIV_Antiretroviral_Treatment_Obser.pdf,pdf,20
37,Use of effective family planning methods and frequency of sex among HIV-infected and HIV-uninfected African women,"Aizire J, Dadabhai S, Taulo F, Makanani B, Gadama L, Sun J, Tsui A, Taha TE",2018,Contraception and Reproductive Medicine,10.1186/s40834-018-0063-z,30002871,PMC6036664,37_Use_of_effective_family_planning_methods_and_frequency_of_se.pdf,pdf,18
38,Pregnancy outcomes in the era of universal antiretroviral treatment in sub-Saharan Africa (POISE Study),"Dadabhai S, Gadama L, Chamanga R, Kawalazira R, Katumbi C, Makanani B, Dula D, Hua N, Lau B, Mallewa M, Taha TE",2018,J Acquired Immune Deficiency Syndromes,10.1097/QAI.0000000000001875,30272628,PMC6289692,38_Pregnancy_outcomes_in_the_era_of_universal_antiretroviral_tr.txt,txt,14
39,"Prevention of HIV-1 transmission through breastfeeding: Efficacy and safety of maternal antiretroviral versus infant nevirapine prophylaxis for duration of breastfeeding in HIV-1-infected women with high CD4 cell count (IMPAACT PROMISE): a randomized, open label, clinical trial","Flynn PM, Taha TE, Cababasay M, Fowler MG, Mofenson LM, Owor M, Fiscus S, Stranix-Chibanda L, Coutsoudis A, Gnanashanmugam D, Chakhtoura N, McCarthy K, Mukuzunga C, Makanani B, Moodley D, Nematadzira T, Kusakara B, Patil S, Vhembo T, Bobat R, Mmbaga BT, Masenya M, Nyati M, Theron G, Mulenga H, Shapiro DE",2017,J Acquired Immune Deficiency Syndromes,10.1097/QAI.0000000000001612,29239901,PMC5825265,39_Prevention_of_HIV_1_transmission_through_breastfeeding_Effic.txt,txt,17
43,Antiretroviral treatment for prevention of HIV transmission,"Cohen MS, Chen YQ, McCauley M, Gamble T, Hosseinipour MC, Kumarasamy N, Hakim JG, Kumwenda J, Grinsztejn B, Pilotto JH, Godbole SV, Mehendale S, Chariyalertsak S, Santos BR, Mayer KH, Hoffman IF, Eshleman SH, Piwowar-Manning, Cottle L, Zhang C, Makhema J, Mills LA, Panchia R, Sanne I, Eron J, Gallant J, Havlir D, Swindells S, Ribaudo H, Elharrar V, Burns D, Taha TE, Nielsen-Saines K, Celentano D, Essex M, Fleming TR; the HPTN 052 Study Team",2016,New England Journal of Medicine,10.1056/nejmoa1600693,27424812,PMC5049503,43_Antiretroviral_treatment_for_prevention_of_HIV_transmission.txt,txt,13
46,"Maternal Highly Active Antiretroviral Therapy and Child HIV-free Survival in Malawi, 2004-2009","Schwartz SR, Kumwenda N, Kumwenda J, Chen S, Mofenson LM, Taylor AW, Fowler MG, Taha TE",2016,Maternal and Child Health Journal,10.1007/s10995-015-1852-5,26525557,PMC4754130,46_Maternal_Highly_Active_Antiretroviral_Therapy_and_Child_HIV_.txt,txt,12
48,"Seroprevalence for hepatitis E and other hepatitides among diverse populations, Malawi","Taha TE, Rusie LK, Labrique A, Nyirenda M, Soko D, Kamanga M, Kumwenda J, Farzadegan H, Nelson K, Kumwenda N",2015,Emerging Infectious Diseases,10.3201/eid2107.141748,26079666,PMC4480384,48_Seroprevalence_for_hepatitis_E_and_other_hepatitides_among_d.pdf,pdf,18
49,Predictors of unstructured antiretroviral treatment interruption and resumption among HIV-positive individuals in Canada,"Samji H, Taha TE, Moore D, Burchell A, Cescon A, Cooper C, Raboud J, Klein M, Machouf N, Tsoukas C, et al",2014,"2014; HIV Medicine, E-pub Sept",10.1111/hiv.12173,25174373,PMC4300259,49_Predictors_of_unstructured_antiretroviral_treatment_interrup.txt,txt,14
50,Bacterial vaginosis and the risk of trichomonas vaginalis acquisition among HIV-1-negative women,"Balkus JE, Richardson BA, Rabe LK, Taha TE, Mgodi N, Kasaro MP, Ramjee G, Hoffman IF, Abdool Karim SS",2014,"2014, Sexually Transmitted Diseases",10.1097/olq.0000000000000075,24413493,PMC4128240,50_Bacterial_vaginosis_and_the_risk_of_trichomonas_vaginalis_ac.txt,txt,11
